"percent_total","request","type","domain","owner","owner_country","owner_lineage"
"4.17","https://ib.adnxs.com/getuid","image","adnxs.com","Xandr","US","Xandr > AT&T"
"4.17","https://ib.adnxs.com/ut/v3/prebid","xhr","adnxs.com","Xandr","US","Xandr > AT&T"
"4.17","https://match.adsrvr.org/track/cmf/openx","image","adsrvr.org","The Trade Desk","US","The Trade Desk"
"4.17","https://pagead2.googlesyndication.com/pagead/managed/js/adsense/m202211300101/show_ads_impl_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"4.17","https://pagead2.googlesyndication.com/pagead/managed/js/adsense/m202212010101/show_ads_impl_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"4.17","https://pixel.rubiconproject.com/token","image","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"4.17","https://s.amazon-adsystem.com/dcm","image","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"4.17","https://s0.wp.com/wp-content/js/rlt-proxy.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"4.17","https://s0.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"4.17","https://static.xx.fbcdn.net/rsrc.php/v3/yE/l/0,cross/X8yxM85IJeo.css","stylesheet","fbcdn.net","Facebook","US","Facebook"
"4.17","https://token.rubiconproject.com/token","image","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"4.17","https://www.google.com/recaptcha/api2/anchor","document","google.com","Google","US","Google > Alphabet"
"4.17","https://www.google.com/recaptcha/api2/webworker.js","other","google.com","Google","US","Google > Alphabet"
"4.17","https://www.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_42x16dp.png","image","gstatic.com","Google","US","Google > Alphabet"
"4.17","https://www.youtube.com/s/player/72d3c60a/www-widgetapi.vflset/www-widgetapi.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"4.17","https://x.bidswitch.net/sync","image","bidswitch.net","Bidswitch","US","Bidswitch > IPONWEB"
"3.47","https://aa.agkn.com/adscores/g.pixel","image","agkn.com","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital"
"3.47","https://aax-eu.amazon-adsystem.com/s/dcm","document","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"3.47","https://aax-eu.amazon-adsystem.com/s/ecm3","image","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"3.47","https://ad.turn.com/r/cs","image","turn.com","Turn","US","Turn > Amobee > Singtel"
"3.47","https://ads.pubmatic.com/AdServer/js/user_sync.html","document","pubmatic.com","PubMatic","US","PubMatic"
"3.47","https://ads.pubmatic.com/AdServer/js/user_sync.html","image","pubmatic.com","PubMatic","US","PubMatic"
"3.47","https://c0.wp.com/c/6.1.1/wp-includes/css/dist/block-library/style.min.css","stylesheet","wp.com","Wordpress","US","Wordpress > Automattic"
"3.47","https://c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css","stylesheet","wp.com","Wordpress","US","Wordpress > Automattic"
"3.47","https://c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/wp-mediaelement.min.css","stylesheet","wp.com","Wordpress","US","Wordpress > Automattic"
"3.47","https://c1.adform.net/serving/cookie/match","document","adform.net","AdForm","DK","AdForm"
"3.47","https://cms.quantserve.com/pixel/p-5aWVS_roA1dVM.gif","document","quantserve.com","Quantcast","US","Quantcast"
"3.47","https://d5p.de17a.com/getuid/pubmatic","document","de17a.com","","",""
"3.47","https://d5p.de17a.com/getuid/pubmatic;c","document","de17a.com","","",""
"3.47","https://dis.criteo.com/dis/usersync.aspx","document","criteo.com","Criteo","FR","Criteo"
"3.47","https://dsp.adfarm1.adition.com/cookie/","document","adition.com","Adition Technologies","DE","Adition Technologies"
"3.47","https://dsum-sec.casalemedia.com/crum","image","casalemedia.com","Index Exchange","CA","Index Exchange"
"3.47","https://eus.rubiconproject.com/usync.html","document","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"3.47","https://eus.rubiconproject.com/usync.js","script","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"3.47","https://googlecm.hit.gemius.pl/googleredir","image","gemius.pl","Gemius","PL","Gemius"
"3.47","https://hb-api.omnitagjs.com/hb-api/prebid/v1","xhr","omnitagjs.com","ADYOULIKE","US","ADYOULIKE"
"3.47","https://ib.adnxs.com/async_usersync","script","adnxs.com","Xandr","US","Xandr > AT&T"
"3.47","https://ib.adnxs.com/bounce","image","adnxs.com","Xandr","US","Xandr > AT&T"
"3.47","https://ib.adnxs.com/getuid","document","adnxs.com","Xandr","US","Xandr > AT&T"
"3.47","https://id.rlcdn.com/711916.gif","image","rlcdn.com","LiveRamp","US","LiveRamp > Acxiom"
"3.47","https://image2.pubmatic.com/AdServer/Pug","document","pubmatic.com","PubMatic","US","PubMatic"
"3.47","https://image2.pubmatic.com/AdServer/Pug","image","pubmatic.com","PubMatic","US","PubMatic"
"3.47","https://image4.pubmatic.com/AdServer/SPug","image","pubmatic.com","PubMatic","US","PubMatic"
"3.47","https://image6.pubmatic.com/AdServer/PugMaster","script","pubmatic.com","PubMatic","US","PubMatic"
"3.47","https://image8.pubmatic.com/AdServer/ImgSync","image","pubmatic.com","PubMatic","US","PubMatic"
"3.47","https://lb.eu-1-id5-sync.com/lb/v1","xhr","eu-1-id5-sync.com","","",""
"3.47","https://match.adsrvr.org/track/cmf/rubicon","image","adsrvr.org","The Trade Desk","US","The Trade Desk"
"3.47","https://mwzeom.zeotap.com/mw","image","zeotap.com","Zeotap","DE","Zeotap"
"3.47","https://odr.mookie1.com/t/v2","image","mookie1.com","Xaxis","US","Xaxis > GroupM > WPP"
"3.47","https://onesignal.com/sdks/OneSignalSDKStyles.css","stylesheet","onesignal.com","","",""
"3.47","https://onetag-sys.com/match/","image","onetag-sys.com","","",""
"3.47","https://onetag-sys.com/usync/","document","onetag-sys.com","","",""
"3.47","https://pixel-eu.rubiconproject.com/exchange/sync.php","image","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"3.47","https://pixel.onaudience.com/","image","onaudience.com","OnAudience","UK","OnAudience"
"3.47","https://pixel.tapad.com/idsync/ex/receive","image","tapad.com","TapAd","US","TapAd > Telenor"
"3.47","https://pixel.tapad.com/idsync/ex/receive/check","image","tapad.com","TapAd","US","TapAd > Telenor"
"3.47","https://px.ads.linkedin.com/setuid","image","linkedin.com","LinkedIn","US","LinkedIn > Microsoft"
"3.47","https://secure.adnxs.com/getuid","image","adnxs.com","Xandr","US","Xandr > AT&T"
"3.47","https://secure.quantserve.com/quant.js","script","quantserve.com","Quantcast","US","Quantcast"
"3.47","https://securepubads.g.doubleclick.net/pagead/ppub_config","xhr","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"3.47","https://simage2.pubmatic.com/AdServer/Pug","document","pubmatic.com","PubMatic","US","PubMatic"
"3.47","https://simage2.pubmatic.com/AdServer/Pug","image","pubmatic.com","PubMatic","US","PubMatic"
"3.47","https://simage4.pubmatic.com/AdServer/SPug","script","pubmatic.com","PubMatic","US","PubMatic"
"3.47","https://ssbsync-global.smartadserver.com/api/sync","image","smartadserver.com","Smart AdServer","FR","Smart AdServer"
"3.47","https://ssl.google-analytics.com/ga.js","script","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"3.47","https://ssl.google-analytics.com/r/__utm.gif","image","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"3.47","https://static.xx.fbcdn.net/rsrc.php/v3/yg/r/72n-ymLXKVc.js","script","fbcdn.net","Facebook","US","Facebook"
"3.47","https://sync.mathtag.com/sync/img","document","mathtag.com","Media Math","US","Media Math"
"3.47","https://um.simpli.fi/pubmatic","image","simpli.fi","simpli.fi","US","simpli.fi > GTCR"
