"percent_total","request","type","domain","owner","owner_country","owner_lineage"
"1.26","https://static.addtoany.com/menu/locale/de.js","script","addtoany.com","","",""
"1.26","https://static.addtoany.com/menu/svg/icons.30.svg.js","script","addtoany.com","","",""
"1.26","https://static.chartbeat.com/js/chartbeat_mab.js","script","chartbeat.com","Chartbeat","US","Chartbeat"
"1.26","https://static.mailerlite.com/js/universal.js","script","mailerlite.com","","",""
"1.26","https://stats.wpmucdn.com/analytics.js","script","wpmucdn.com","","",""
"1.26","https://tag.leadplace.fr/libJsLP.js","script","leadplace.fr","","",""
"1.26","https://tags.tiqcdn.com/utag/tiqapp/utag.v.js","script","tiqcdn.com","Tealium","US","Tealium"
"1.26","https://tpc.googlesyndication.com/pagead/gadgets/html5/addata.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"1.26","https://tps.doubleverify.com/visit.js","script","doubleverify.com","Double Verify","US","Double Verify"
"1.26","https://tracking-a.dsp.m6r.eu/sync/adscaleRedirect","script","m6r.eu","Ströer","DE","Ströer"
"1.26","https://tracking.m6r.eu/sync/adscaleRedirect","script","m6r.eu","Ströer","DE","Ströer"
"1.26","https://www.gstatic.com/mysidia/5587343474cc56ee2b095ca803ffba7b.js","script","gstatic.com","Google","US","Google > Alphabet"
"1.26","https://www.gstatic.com/mysidia/61bed0be09f28e3ac5bfa8d000e3d165.js","script","gstatic.com","Google","US","Google > Alphabet"
"1.26","https://www.gstatic.com/mysidia/777fc5017be2667dfa3342e80487738c.js","script","gstatic.com","Google","US","Google > Alphabet"
"1.26","https://www.gstatic.com/mysidia/de17d2874496eb5aa5ae962212bd52f2.js","script","gstatic.com","Google","US","Google > Alphabet"
"1.26","https://www.recaptcha.net/recaptcha/api.js","script","recaptcha.net","","",""
"1.26","https://www.youtube.com/player_api","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"1.26","https://z.moatads.com/addthismoatframe568911941483/moatframe.js","script","moatads.com","Moat","US","Moat > Oracle Data Cloud > Oracle"
"0.84","http://connect.facebook.net/de_DE/sdk.js","script","facebook.net","Facebook","US","Facebook"
"0.84","http://pagead2.googlesyndication.com/pagead/show_ads.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"0.84","https://2kita.com/vpn/assets/js/config.js","script","2kita.com","","",""
"0.84","https://2kita.com/vpn/assets/js/main.js","script","2kita.com","","",""
"0.84","https://2kita.com/vpn/assets/vendor/js/bootstrap.js","script","2kita.com","","",""
"0.84","https://2kita.com/vpn/assets/vendor/js/helpers.js","script","2kita.com","","",""
"0.84","https://2kita.com/vpn/assets/vendor/js/menu.js","script","2kita.com","","",""
